cntr_01,dist_x,pang_x,ra_01,dec_01,cntr,object,ra,dec,unc_ra,unc_dec,tile,flux_ap2_36,uncf_ap2_36,flux_kr_36,uncf_kr_36,stell_36,flgs_36,ext_fl_36,flux_ap2_45,uncf_ap2_45,flux_kr_45,uncf_kr_45,stell_45,flgs_45,ext_fl_45,flux_ap2_58,uncf_ap2_58,flux_kr_58,uncf_kr_58,stell_58,flgs_58,ext_fl_58,flux_ap2_80,uncf_ap2_80,flux_kr_80,uncf_kr_80,stell_80,flgs_80,ext_fl_80,flux_ap2_24,uncf_ap2_24,flux_kr_24,uncf_kr_24,stell_24,flgs_24,ext_fl_24
3,43.347406,68.567065,36.5651,-4.94117,30181,SWIRE2_J022618.32-045612.3,36.57635,-4.93677,0.0327,0.0425,11,16.98,0.62,23.37,0.85,0.0,CA0,0,14.91,0.81,25.97,1.69,0.0,CA2,0,,,,,,,,,,,,,,,,,,,,,
3,43.539836,111.690978,36.5651,-4.94117,29835,SWIRE2_J022618.33-045644.3,36.57638,-4.94564,0.0316,0.0174,11,36.94,0.63,48.29,0.86,0.02,CA3,0,33.71,0.96,41.82,1.42,0.15,CA3,0,,,,,,,,,,,,,,,,,,,,,
3,43.643944,-174.624506,36.5651,-4.94117,29687,SWIRE2_J022615.35-045711.6,36.56396,-4.95324,0.0335,0.0255,11,11.16,0.59,8.89,0.55,0.52,CA0,0,11.82,0.86,8.98,0.77,0.47,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,44.078301,116.274632,36.5651,-4.94117,29793,SWIRE2_J022618.26-045647.7,36.57612,-4.94659,0.0256,0.023,11,18.26,0.49,17.52,0.54,0.26,CA3,0,18.71,0.76,19.17,0.96,0.41,CA3,0,,,,,,,,,,,,,,,,,,,,,
3,44.925393,-11.000018,36.5651,-4.94117,30735,SWIRE2_J022615.05-045544.1,36.56271,-4.92892,0.0243,0.0248,11,16.81,0.73,16.24,0.85,0.75,CA0,0,14.99,0.9,12.04,0.88,0.55,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,45.349415,-161.270909,36.5651,-4.94117,29742,SWIRE2_J022614.64-045711.1,36.56104,-4.9531,0.0325,0.0293,11,14.25,0.62,13.14,0.75,0.09,CA0,0,11.31,0.87,10.31,1.01,0.07,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,45.733804,119.574775,36.5651,-4.94117,29752,SWIRE2_J022618.28-045650.7,36.57619,-4.94744,0.0157,0.0163,11,41.48,0.73,42.62,0.84,0.59,CA3,0,56.3,1.16,54.78,1.35,0.67,CA3,0,64.52,3.99,88.83,5.79,0.04,CA0,0.0,85.7,5.48,70.26,6.11,0.36,CA0,0.0,366.49,26.46,286.66,20.61,0.36,CA0,0.0
3,45.749105,-24.650538,36.5651,-4.94117,30752,SWIRE2_J022614.34-045546.6,36.55978,-4.92962,0.0204,0.032,11,35.46,0.94,62.72,1.58,0.01,CA3,0,21.38,0.95,31.41,1.82,0.02,CA2,0,,,,,,,,,,,,,,,,,,,,,
3,48.612889,-29.092023,36.5651,-4.94117,30781,SWIRE2_J022614.04-045545.7,36.55851,-4.92937,0.0113,0.011,11,117.12,1.46,125.04,1.52,0.16,CA3,0,84.77,1.31,83.88,1.47,0.35,CA2,0,,,,,,,,60.54,5.38,48.23,5.33,0.37,CA2,0.0,743.43,28.02,475.44,26.53,0.5,CA0,0.0
3,50.315638,37.757902,36.5651,-4.94117,30507,SWIRE2_J022617.68-045548.4,36.57369,-4.93012,0.0192,0.022,11,33.91,0.8,33.02,0.87,0.75,CA3,0,28.85,0.91,24.48,1.03,0.83,CA3,0,,,,,,,,,,,,,,,,,,,,,
3,51.263865,-59.066799,36.5651,-4.94117,30680,SWIRE2_J022612.68-045601.8,36.55284,-4.93385,0.0154,0.015,11,57.21,1.08,53.75,1.13,0.81,CA0,0,54.98,1.23,50.92,1.47,0.1,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,52.990327,118.042878,36.5651,-4.94117,29686,SWIRE2_J022618.75-045653.1,36.57814,-4.94809,0.0268,0.0283,11,20.77,0.59,19.61,0.74,0.88,CA0,0,12.11,0.8,9.57,0.77,0.55,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,53.031922,44.372425,36.5651,-4.94117,30446,SWIRE2_J022618.10-045550.3,36.57544,-4.93064,0.0385,0.0265,11,9.76,0.62,10.24,0.75,0.52,CA0,0,12.81,0.85,15.26,1.22,0.04,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,54.172332,25.869134,36.5651,-4.94117,30650,SWIRE2_J022617.20-045539.4,36.57169,-4.92763,0.0234,0.0226,11,23.83,0.71,23.75,0.9,0.86,CA0,0,28.31,0.85,26.98,0.92,0.82,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,54.216144,39.084058,36.5651,-4.94117,30522,SWIRE2_J022617.91-045546.1,36.57463,-4.92948,0.0218,0.0213,11,33.1,0.79,31.6,0.99,0.64,CA3,0,27.41,0.89,24.76,1.02,0.8,CA3,0,,,,,,,,,,,,,,,,,,,,,
3,55.690445,103.153143,36.5651,-4.94117,29813,SWIRE2_J022619.25-045640.8,36.58022,-4.94469,0.0367,0.0382,11,9.04,0.53,8.5,0.63,0.5,CA0,0,9.28,0.76,8.98,0.97,0.38,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,56.526098,108.338262,36.5651,-4.94117,29746,SWIRE2_J022619.21-045645.9,36.58006,-4.94611,0.0198,0.0211,11,33.39,0.79,30.53,0.86,0.83,CA0,0,34.56,0.89,34.83,1.18,0.71,CA0,0,,,,,,,,,,,,,,,446.16,22.27,455.95,28.34,0.31,CA0,0.0
3,58.145093,-57.155646,36.5651,-4.94117,30761,SWIRE2_J022612.35-045556.6,36.55148,-4.93241,0.0255,0.022,11,28.42,0.87,38.99,1.29,0.45,CA0,0,23.79,0.96,30.69,1.48,0.76,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,60.944016,-42.456838,36.5651,-4.94117,30875,SWIRE2_J022612.87-045543.2,36.55363,-4.92868,0.0355,0.0296,11,13.08,0.7,15.96,1.12,0.01,CA0,0,9.8,0.86,10.41,1.02,0.47,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,61.059044,0.57217,36.5651,-4.94117,30884,SWIRE2_J022615.66-045527.1,36.56527,-4.92421,0.0163,0.0163,11,62.62,0.99,61.53,1.04,0.88,CA0,0,37.78,1.04,38.36,1.3,0.58,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,62.8124,19.862042,36.5651,-4.94117,30783,SWIRE2_J022617.05-045529.1,36.57105,-4.92476,0.0289,0.0229,11,29.71,0.79,57.09,1.62,0.01,CA0,0,26.03,0.77,38.48,1.42,0.0,CA0,0,,,,,,,,47.0,4.04,37.03,4.03,0.35,CA0,0.0,,,,,,,
3,63.415083,-150.226899,36.5651,-4.94117,29665,SWIRE2_J022613.51-045723.2,36.55632,-4.95646,0.0341,0.0299,11,10.01,0.58,9.46,0.71,0.53,CA0,0,13.0,0.89,17.07,1.29,0.06,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,63.760392,164.903949,36.5651,-4.94117,29387,SWIRE2_J022616.73-045729.7,36.56973,-4.95827,0.0222,0.024,11,22.27,0.78,18.64,0.72,0.89,CA0,0,18.64,0.92,16.23,0.92,0.72,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,64.735645,146.356165,36.5651,-4.94117,29395,SWIRE2_J022618.02-045722.1,36.5751,-4.95614,0.018,0.0237,11,32.33,0.8,34.96,0.89,0.02,CA0,0,26.96,0.97,27.31,1.35,0.27,CA0,0,,,,,,,,66.29,5.29,46.46,4.67,0.14,CA0,0.0,,,,,,,
3,64.834574,113.080533,36.5651,-4.94117,29624,SWIRE2_J022619.61-045653.6,36.58173,-4.94823,0.0303,0.0247,11,17.72,0.66,15.46,0.72,0.85,CA0,0,11.55,0.75,8.75,0.58,0.6,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,65.523233,-120.071774,36.5651,-4.94117,30038,SWIRE2_J022611.82-045701.0,36.54929,-4.95029,0.0253,0.0346,11,26.7,0.71,43.01,1.24,0.01,CA0,0,21.02,0.97,32.41,1.79,0.0,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,66.032566,52.367164,36.5651,-4.94117,30403,SWIRE2_J022619.12-045547.8,36.57968,-4.92997,0.0201,0.0218,11,27.3,0.83,25.32,0.96,0.25,CA0,0,26.22,1.1,22.29,1.18,0.82,CA0,0,,,,,,,,,,,,,,,,,,,,,
3,67.858276,32.373066,36.5651,-4.94117,30701,SWIRE2_J022618.05-045530.9,36.57523,-4.92525,0.0303,0.0248,11,14.51,0.63,12.85,0.67,0.11,CA0,0,18.56,0.83,16.81,1.06,0.05,CA0,0,,,,,,,,,,,,,,,443.3,22.9,247.04,19.34,0.45,CA0,0.0
3,68.277325,-6.606186,36.5651,-4.94117,31003,SWIRE2_J022615.09-045520.3,36.56291,-4.92233,0.026,0.0262,11,26.28,0.74,25.88,0.85,0.02,CA0,0,15.93,0.9,13.72,0.81,0.03,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,0.559153,-135.089808,36.8772,-4.53427,42605,SWIRE2_J022730.50-043203.7,36.87709,-4.53438,0.0133,0.0116,12,65.29,0.99,62.22,1.06,0.49,CA0,0,82.79,1.38,80.39,1.46,0.63,CA0,0,77.25,4.94,62.51,6.17,0.05,CA0,0.0,131.09,5.54,124.64,8.28,0.0,CA0,0.0,481.05,25.44,416.48,25.5,0.47,CA0,0.0
4,11.853528,167.942041,36.8772,-4.53427,42460,SWIRE2_J022730.69-043214.9,36.87789,-4.53749,0.0275,0.0227,12,16.77,0.63,15.84,0.85,0.69,CA0,0,21.23,1.01,17.41,1.04,0.69,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,12.329723,-66.055813,36.8772,-4.53427,42720,SWIRE2_J022729.77-043158.3,36.87406,-4.53288,0.0251,0.0258,12,27.69,0.74,28.61,0.84,0.03,CA0,0,16.5,1.05,18.71,1.37,0.03,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,13.64733,27.909413,36.8772,-4.53427,42731,SWIRE2_J022730.95-043151.3,36.87898,-4.53092,0.0302,0.0262,12,12.2,0.64,9.94,0.62,0.7,CA0,0,13.14,0.88,9.7,0.66,0.58,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,21.902201,-124.660515,36.8772,-4.53427,42537,SWIRE2_J022729.32-043215.8,36.87218,-4.53773,0.0324,0.033,12,8.93,0.57,8.16,0.7,0.32,CA0,0,10.33,1.06,7.77,1.01,0.1,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,24.669333,-29.740235,36.8772,-4.53427,42919,SWIRE2_J022729.70-043141.9,36.87379,-4.52832,0.0222,0.023,12,22.93,0.69,22.45,0.82,0.83,CA0,0,24.31,1.05,18.35,1.01,0.79,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,25.07214,-62.554402,36.8772,-4.53427,42837,SWIRE2_J022729.04-043151.8,36.871,-4.53106,0.0228,0.0244,12,24.38,0.7,21.38,0.68,0.67,CA0,0,11.66,1.07,11.7,1.16,0.46,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,26.009968,-102.713393,36.8772,-4.53427,42658,SWIRE2_J022728.83-043209.0,36.87013,-4.53586,0.0198,0.0251,12,17.1,0.76,19.02,0.93,0.03,CA0,0,21.04,1.17,32.46,1.94,0.07,CA0,0,55.21,6.13,77.89,7.17,0.06,CA0,0.0,,,,,,,,,,,,,,
4,27.218407,149.582484,36.8772,-4.53427,42268,SWIRE2_J022731.44-043226.8,36.88104,-4.54079,0.019,0.015,12,37.88,0.89,73.45,2.05,0.1,CA2,0,42.71,1.1,46.82,1.73,0.33,CA3,0,65.97,5.35,67.88,6.35,0.06,CA0,0.0,149.6,5.46,119.87,6.55,0.55,CA0,0.0,1084.08,26.34,1347.33,37.99,0.71,CA0,0.0
4,27.941635,175.727936,36.8772,-4.53427,42265,SWIRE2_J022730.66-043231.2,36.87778,-4.54201,0.00688,0.00677,12,411.14,2.23,403.46,2.07,0.98,CA2,-1,268.04,2.24,247.32,2.11,0.98,CA0,0,197.0,5.71,164.75,5.28,0.44,CA0,0.0,109.91,5.89,79.82,6.24,0.49,CA0,0.0,,,,,,,
4,28.153925,119.913448,36.8772,-4.53427,42343,SWIRE2_J022732.16-043217.4,36.884,-4.53817,0.0144,0.0152,12,53.57,1.12,59.25,1.41,0.31,CA3,0,52.93,1.26,50.41,1.68,0.68,CA3,0,-99.0,-99.0,-99.0,-99.0,-9.0,,-99.0,,,,,,,,,,,,,,
4,28.557994,160.548543,36.8772,-4.53427,42243,SWIRE2_J022731.16-043230.3,36.87985,-4.54175,0.0226,0.024,12,26.78,0.74,40.62,1.09,0.02,CA3,0,26.9,1.05,42.73,1.86,0.09,CA3,0,,,,,,,,,,,,,,,,,,,,,
4,28.86365,-136.856226,36.8772,-4.53427,42442,SWIRE2_J022729.20-043224.4,36.8717,-4.54012,0.019,0.0184,12,21.62,0.88,17.2,0.79,0.83,CA3,0,34.03,1.44,34.83,1.6,0.83,CA3,0,,,,,,,,,,,,,,,,,,,,,
4,29.482795,128.605938,36.8772,-4.53427,42296,SWIRE2_J022732.06-043221.7,36.88362,-4.53938,0.0238,0.0239,12,17.07,0.75,16.32,0.88,0.7,CA3,0,17.1,0.95,18.28,1.2,0.51,CA3,0,,,,,,,,,,,,,,,,,,,,,
4,31.316071,61.655784,36.8772,-4.53427,42673,SWIRE2_J022732.37-043148.5,36.88488,-4.53014,0.0148,0.0142,12,60.16,1.16,53.75,1.09,0.98,CA0,0,43.83,1.35,44.55,1.77,0.61,CA0,0,,,,,,,,,,,,,,,-99.0,-99.0,-99.0,-99.0,-9.0,,-99.0
4,31.339539,-141.469156,36.8772,-4.53427,42396,SWIRE2_J022729.22-043227.8,36.87176,-4.54108,0.00796,0.00832,12,104.35,1.46,97.75,1.37,0.91,CA2,0,153.83,2.06,140.08,2.01,0.97,CA2,0,280.18,7.51,281.93,9.74,0.5,CA0,0.0,500.35,7.54,439.33,9.58,0.96,CA0,0.0,1426.97,29.85,1012.01,31.59,0.53,CA0,0.0
4,32.10668,115.574916,36.8772,-4.53427,42331,SWIRE2_J022732.46-043217.2,36.88527,-4.53812,0.0177,0.0171,12,51.39,1.12,62.25,1.49,0.38,CA3,0,50.34,1.27,51.34,1.68,0.26,CA3,0,,,,,,,,,,,,,,,,,,,,,
4,32.116088,132.005407,36.8772,-4.53427,42245,SWIRE2_J022732.12-043224.8,36.88385,-4.54024,0.0243,0.0249,12,19.79,0.81,18.39,1.08,0.22,CA3,0,24.23,0.98,22.0,1.46,0.27,CA2,0,,,,,,,,,,,,,,,,,,,,,
4,32.376374,-63.875951,36.8772,-4.53427,42905,SWIRE2_J022728.58-043149.1,36.8691,-4.53031,0.0218,0.0266,12,19.41,0.69,17.63,0.74,0.8,CA0,0,16.89,1.12,15.77,1.3,0.61,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,33.110256,-5.161458,36.8772,-4.53427,43007,SWIRE2_J022730.32-043130.3,36.87637,-4.52511,0.0364,0.0396,12,10.99,0.57,13.21,0.93,0.03,CA0,0,9.77,0.89,12.3,1.17,0.04,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,33.690736,20.776006,36.8772,-4.53427,42935,SWIRE2_J022731.32-043131.8,36.88053,-4.52552,0.015,0.0167,12,59.11,1.17,60.28,1.24,0.6,CA0,0,50.04,1.24,52.41,1.47,0.36,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,41.466847,151.576252,36.8772,-4.53427,42103,SWIRE2_J022731.84-043239.8,36.8827,-4.5444,0.0259,0.0215,12,22.25,0.74,26.83,1.11,0.28,CA0,0,24.88,0.98,26.7,1.44,0.71,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,41.701307,-75.50211,36.8772,-4.53427,42909,SWIRE2_J022727.82-043152.9,36.86595,-4.53137,0.0221,0.0277,12,21.52,0.87,19.79,0.86,0.72,CA0,0,15.03,1.12,14.44,1.38,0.49,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,41.845354,170.671933,36.8772,-4.53427,42101,SWIRE2_J022730.98-043244.6,36.87909,-4.54574,0.0319,0.0305,12,17.98,0.64,19.66,0.81,0.19,CA0,0,13.85,0.99,13.39,1.15,0.4,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,42.040163,-106.363964,36.8772,-4.53427,42646,SWIRE2_J022727.83-043215.2,36.86596,-4.53756,0.0197,0.0233,12,21.65,0.82,18.16,0.84,0.63,CA0,0,22.23,1.17,18.32,1.26,0.65,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,42.475528,111.530401,36.8772,-4.53427,42248,SWIRE2_J022733.17-043218.9,36.88821,-4.5386,0.0208,0.0203,12,34.66,0.97,37.15,1.13,0.04,CA0,0,28.24,1.23,27.88,1.64,0.18,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,43.905661,65.022515,36.8772,-4.53427,42661,SWIRE2_J022733.18-043144.8,36.88829,-4.52912,0.0258,0.0213,12,11.24,0.73,10.36,0.82,0.51,CA0,0,15.55,1.16,15.6,1.26,0.51,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,47.366328,-1.910447,36.8772,-4.53427,43166,SWIRE2_J022730.42-043116.0,36.87676,-4.52112,0.0206,0.0233,12,28.81,0.73,26.47,0.8,0.36,CA0,0,22.88,1.0,20.54,0.98,0.26,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,47.875849,82.960248,36.8772,-4.53427,42473,SWIRE2_J022733.70-043157.5,36.89044,-4.53264,0.0289,0.0249,12,14.98,0.75,15.65,0.86,0.47,CA3,0,17.13,1.15,18.47,1.58,0.02,CA3,0,,,,,,,,,,,,,,,,,,,,,
4,48.660161,102.259441,36.8772,-4.53427,42280,SWIRE2_J022733.70-043213.7,36.89045,-4.53714,0.0288,0.0199,12,14.13,0.73,11.08,0.61,0.7,CA0,0,11.93,1.1,8.0,0.84,0.53,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,49.344775,-166.7138,36.8772,-4.53427,42099,SWIRE2_J022729.76-043251.3,36.87404,-4.54761,0.0275,0.0265,12,16.17,0.76,13.63,0.69,0.81,CA0,0,16.25,1.11,18.55,1.61,0.02,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,49.631972,86.923712,36.8772,-4.53427,42417,SWIRE2_J022733.84-043200.7,36.89101,-4.53353,0.0177,0.0158,12,51.8,1.13,56.72,1.37,0.43,CA2,0,37.76,1.31,36.7,1.69,0.31,CA2,0,,,,,,,,,,,,,,,,,,,,,
4,49.967612,-19.422899,36.8772,-4.53427,43217,SWIRE2_J022729.41-043116.2,36.87257,-4.52118,0.0158,0.0165,12,58.3,0.88,71.17,1.07,0.51,CA3,0,36.27,0.98,40.46,1.5,0.65,CA3,0,37.9,4.29,45.04,4.51,0.36,CA0,0.0,,,,,,,,,,,,,,
4,51.163679,4.909099,36.8772,-4.53427,43185,SWIRE2_J022730.82-043112.3,36.87842,-4.52011,0.0196,0.021,12,19.32,0.65,15.92,0.6,0.93,CA0,0,26.65,1.07,21.62,0.97,0.83,CA0,0,51.03,4.88,48.25,5.5,0.12,CA0,0.0,,,,,,,,,,,,,,
4,53.803516,-17.547308,36.8772,-4.53427,43269,SWIRE2_J022729.44-043112.0,36.87268,-4.52002,0.0133,0.0128,12,132.51,1.26,164.76,1.39,0.05,CA3,2,83.5,1.27,111.5,1.84,0.12,CA3,0,,,,,,,,,,,,,,,,,,,,,
4,54.01467,-153.86493,36.8772,-4.53427,42144,SWIRE2_J022728.93-043251.8,36.87057,-4.54774,0.0264,0.0215,12,15.6,0.76,19.71,1.15,0.33,CA3,0,22.98,1.19,24.78,1.64,0.7,CA3,0,,,,,,,,,,,,,,,407.65,27.79,266.39,25.81,0.04,CA0,0.0
4,55.334082,-23.83218,36.8772,-4.53427,43287,SWIRE2_J022729.03-043112.7,36.87097,-4.52021,0.028,0.0343,12,21.3,0.58,31.8,1.08,0.22,CA3,0,12.71,0.88,15.44,1.33,0.01,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,55.931319,-178.345479,36.8772,-4.53427,41972,SWIRE2_J022730.42-043259.2,36.87675,-4.5498,0.0309,0.0303,12,14.97,0.65,16.0,0.8,0.6,CA0,0,14.6,1.15,17.63,1.51,0.44,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,56.816263,0.977204,36.8772,-4.53427,43255,SWIRE2_J022730.59-043106.5,36.87747,-4.51849,0.0269,0.0292,12,11.13,0.57,8.72,0.73,0.68,CA0,0,18.91,0.94,19.57,1.3,0.33,CA0,0,,,,,,,,,,,,,,,513.04,30.08,603.93,33.03,0.45,CA2,0.0
4,57.211411,-156.016943,36.8772,-4.53427,42102,SWIRE2_J022728.97-043255.6,36.87072,-4.54879,0.0123,0.0134,12,65.19,1.21,67.75,1.4,0.27,CA3,0,65.18,1.57,64.84,1.88,0.63,CA2,0,,,,,,,,87.34,6.8,84.34,6.89,0.49,CA0,0.0,,,,,,,
4,57.653171,-60.196113,36.8772,-4.53427,43160,SWIRE2_J022727.18-043134.7,36.86326,-4.52631,0.0302,0.0234,12,15.93,0.62,13.6,0.56,0.66,CA0,0,11.96,1.11,9.05,1.06,0.51,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,59.818027,-121.250572,36.8772,-4.53427,42465,SWIRE2_J022727.10-043234.4,36.86295,-4.54289,0.0215,0.0247,12,29.84,0.94,35.46,1.3,0.23,CA2,0,23.46,1.21,25.37,1.63,0.07,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,59.875088,154.168061,36.8772,-4.53427,41870,SWIRE2_J022732.27-043257.2,36.88447,-4.54924,0.0367,0.0333,12,9.54,0.52,11.44,0.67,0.67,CA0,0,18.18,0.93,21.03,1.31,0.26,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,60.109109,125.770828,36.8772,-4.53427,41997,SWIRE2_J022733.78-043238.5,36.89079,-4.54403,0.0115,0.0132,12,123.29,1.6,153.48,1.82,0.07,CA0,2,92.54,1.71,114.74,2.48,0.36,CA0,0,52.39,6.09,30.65,4.66,0.46,CA0,0.0,,,,,,,,,,,,,,
4,60.351663,-17.368393,36.8772,-4.53427,43351,SWIRE2_J022729.32-043105.7,36.87218,-4.51827,0.0186,0.0226,12,35.37,0.79,36.76,1.09,0.15,CA3,0,43.19,0.95,43.12,1.14,0.6,CA2,0,53.44,4.83,110.08,8.72,0.01,CA0,0.0,,,,,,,,-99.0,-99.0,-99.0,-99.0,-9.0,,-99.0
4,60.749062,135.665824,36.8772,-4.53427,41921,SWIRE2_J022733.36-043246.8,36.88903,-4.54634,0.0287,0.0231,12,13.89,0.65,11.04,0.6,0.76,CA0,0,11.31,0.96,8.28,0.81,0.49,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,60.856295,25.873882,36.8772,-4.53427,43132,SWIRE2_J022732.30-043108.6,36.8846,-4.51906,0.0227,0.0243,12,16.8,0.62,13.29,0.55,0.89,CA0,0,10.35,1.08,8.34,0.95,0.48,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,61.079548,-36.150766,36.8772,-4.53427,43327,SWIRE2_J022728.11-043114.0,36.86716,-4.52057,0.026,0.0243,12,17.09,0.61,14.82,0.63,0.82,CA0,0,19.65,0.98,15.8,0.94,0.61,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,62.362986,111.575596,36.8772,-4.53427,42097,SWIRE2_J022734.40-043226.3,36.89336,-4.54064,0.015,0.0134,12,56.35,1.13,53.61,1.22,0.94,CA0,0,47.98,1.39,42.49,1.5,0.83,CA0,0,,,,,,,,,,,,,,,-99.0,-99.0,-99.0,-99.0,-9.0,,-99.0
4,62.569739,-0.427226,36.8772,-4.53427,43331,SWIRE2_J022730.49-043100.8,36.87707,-4.51689,0.0327,0.0256,12,14.3,0.66,11.95,0.6,0.49,CA0,0,13.02,0.84,12.61,1.12,0.51,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,62.642042,-72.75063,36.8772,-4.53427,43082,SWIRE2_J022726.52-043144.7,36.86053,-4.52911,0.0271,0.0193,12,35.5,0.8,44.62,1.22,0.19,CA0,0,32.96,1.28,57.2,2.8,0.46,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,64.355339,83.577071,36.8772,-4.53427,42407,SWIRE2_J022734.80-043156.1,36.89502,-4.53227,0.0244,0.0201,12,16.59,0.75,12.89,0.65,0.87,CA0,0,20.83,1.17,17.48,1.07,0.63,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,64.438208,161.861538,36.8772,-4.53427,41808,SWIRE2_J022731.86-043304.6,36.88279,-4.55128,0.0337,0.0392,12,9.87,0.48,7.85,0.43,0.53,CA0,0,9.79,0.87,7.42,0.67,0.07,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,65.207213,-5.812218,36.8772,-4.53427,43393,SWIRE2_J022730.08-043058.5,36.87536,-4.51625,0.0257,0.0291,12,16.07,0.68,19.33,0.98,0.83,CA0,0,12.97,0.81,12.94,1.01,0.65,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,66.506455,120.730292,36.8772,-4.53427,41975,SWIRE2_J022734.35-043237.3,36.89313,-4.54371,0.0118,0.0145,12,82.43,1.29,95.72,1.48,0.03,CA3,0,57.45,1.48,65.11,2.04,0.44,CA3,0,-99.0,-99.0,-99.0,-99.0,-9.0,,-99.0,,,,,,,,,,,,,,
4,67.084273,117.173694,36.8772,-4.53427,42002,SWIRE2_J022734.51-043234.0,36.89383,-4.54278,0.0112,0.0132,12,100.03,1.45,117.08,1.62,0.22,CA3,0,68.46,1.54,70.27,1.89,0.42,CA3,0,56.88,5.97,55.87,6.31,0.03,CA0,0.0,,,,,,,,,,,,,,
4,68.124573,104.600624,36.8772,-4.53427,42127,SWIRE2_J022734.93-043220.5,36.89557,-4.53904,0.0187,0.0192,12,29.02,0.9,25.43,0.87,0.81,CA0,0,30.2,1.25,29.51,1.37,0.81,CA0,0,,,,,,,,,,,,,,,-99.0,-99.0,-99.0,-99.0,-9.0,,-99.0
4,68.237852,-99.199084,36.8772,-4.53427,42778,SWIRE2_J022726.02-043214.2,36.85843,-4.5373,0.0121,0.0126,12,278.91,2.57,849.95,4.8,0.03,EK2,2,218.07,2.5,579.37,5.4,0.03,EK2,2,108.56,6.57,182.33,11.1,0.0,CA0,0.0,90.7,6.79,106.56,7.45,0.48,CA0,0.0,,,,,,,
4,68.848549,51.673959,36.8772,-4.53427,42877,SWIRE2_J022734.13-043120.6,36.89225,-4.52241,0.0191,0.0197,12,35.16,0.96,32.3,1.02,0.56,CA0,0,24.67,1.2,21.8,1.15,0.64,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,70.33599,65.120432,36.8772,-4.53427,42693,SWIRE2_J022734.79-043133.7,36.89498,-4.52605,0.0112,0.0117,12,144.13,1.83,263.03,2.5,0.03,CA3,2,135.79,2.03,214.22,3.21,0.02,CA0,2,95.06,6.62,142.84,10.39,0.0,CA2,0.0,,,,,,,,-99.0,-99.0,-99.0,-99.0,-9.0,,-99.0
4,70.565942,-116.872945,36.8772,-4.53427,42508,SWIRE2_J022726.31-043235.2,36.85966,-4.54313,0.0141,0.0118,12,92.52,1.42,102.43,1.71,0.81,CA3,0,73.54,1.57,68.75,1.98,0.36,CA0,0,,,,,,,,,,,,,,,,,,,,,
4,70.585758,-73.008619,36.8772,-4.53427,43139,SWIRE2_J022726.01-043142.7,36.85839,-4.52854,0.0174,0.0171,12,39.99,0.82,37.57,0.95,0.71,CA0,0,38.87,1.32,33.08,1.5,0.64,CA0,0,,,,,,,,,,,,,,,,,,,,,
