name,class_x,model,mag,mean_sb,re,n,b/a,pa,align,ra,dec,z,class_y,inst,filter,scale,color,M200,e_M200
RDCSJ1252-2927,2,Sersic,-24.943,22.918,12.784,2.57,0.73,66,23,193.2273,-29.4548,1.237,2,WFC3_IR,F125W,8.284,F775W-F850LP,6.8,1.0
RXJ1354-02,1,Sersic,-25.709,23.334,41.547,5.57,0.77,20,99,208.5716,-2.3664,0.54786,1,ACS_WFC,F814W,6.38,,2.19,0.4
WARPSJ1415+3612,1,Sersic,-25.351,23.665,20.719,2.73,0.72,23,45,213.7962,36.2009,1.03,1,ACS_WFC,F850LP,8.024,F775W-F850LP,4.7,1.4
MACSJ1423+2404,1,Sersic,-25.399,22.363,24.917,2.16,0.6,37,5,215.9495,24.0784,0.5431,1,ACS_WFC,F850LP,6.352,F606W-F775W,5.7,1.0
ISCS1429+3437,1,Sersic,-26.15,23.308,29.892,8.65,0.93,58,28,217.3237,34.6207,1.258,1,WFC3_IR,F160W,8.301,F775W-F850LP,5.4,1.6
ISCSJ1432+3436,2,Sersic,-24.524,20.43,3.476,4.14,0.84,53,99,218.1574,34.6063,1.347,2,WFC3_IR,F160W,8.36,F850LP-F160W,5.3,1.7
ISCSJ1432+3436,2,Sersic,-24.524,20.43,3.476,4.14,0.84,53,99,218.1578,34.6084,1.347,1,WFC3_IR,F160W,8.36,F850LP-F160W,5.3,1.7
ISCSJ1432+3436,1,Sersic,-24.714,21.079,5.116,3.53,0.88,31,99,218.1574,34.6063,1.347,2,WFC3_IR,F160W,8.36,F850LP-F160W,5.3,1.7
ISCSJ1432+3436,1,Sersic,-24.714,21.079,5.116,3.53,0.88,31,99,218.1578,34.6084,1.347,1,WFC3_IR,F160W,8.36,F850LP-F160W,5.3,1.7
ISCSJ1434.5+3519,1,Sersic,-24.979,21.619,7.272,2.84,0.65,77,56,218.6913,35.3314,1.373,1,WFC3_IR,F160W,8.373,F775W-F850LP,2.8,1.4
ISCSJ1438+3414,1,Sersic,-25.233,23.866,22.274,9.86,0.78,36,81,219.5352,34.2368,1.414,1,WFC3_IR,F160W,8.389,F850LP-F105W,3.1,1.4
