Galaxy ID,Ks,ae,n,epsilon,stellar_mass,z,R.A.,Dec.,Spec.
13025741,17.53,0.42,3.97,0.59,16.75,0.78,215.119415,52.979675,1
13026120,17.46,0.72,3.3,0.19,14.31,0.66,215.110321,52.989639,0
13026142,17.39,0.83,0.89,0.53,16.83,0.78,215.100327,53.004559,1
13026153,17.58,0.82,4.74,0.53,14.07,0.73,215.116394,52.99802,0
13026769,16.24,1.78,2.32,0.76,37.24,0.51,215.009186,52.954311,0
13026852,16.19,1.2,6.45,0.32,17.72,0.45,215.005096,52.973309,1
13027442,16.89,1.45,4.71,0.56,17.26,0.77,214.873672,52.956039,1
13027445,15.98,0.73,7.22,0.04,13.48,0.36,214.905289,53.005642,1
13027502,17.64,1.12,1,0.75,10.75,0.68,214.872284,52.967979,1
13032739,17.71,0.66,3.6,0.56,14.11,0.76,215.315079,53.059692,0
13032767,18.17,0.52,0.15,0.47,10.54,0.77,215.277084,53.047146,0
13033178,16.99,1.95,1.15,0.79,20.62,0.61,215.306015,53.060127,0
13033196,17.43,0.84,4.45,0.34,15.84,0.7,215.294907,53.047283,0
13033202,17.27,1.53,1.95,0.71,14.32,0.71,215.235367,53.043293,1
13033243,17.84,0.28,5.47,0.16,10.3,0.7,215.282608,53.01915,0
13033496,17.34,0.57,2.89,0.27,16.61,0.75,215.164032,53.034328,1
13033774,18.21,0.68,1.28,0.7,11.24,0.8,215.184067,53.060829,0
13033908,17.27,0.62,3.88,0.47,11.64,0.58,215.141785,53.04977,1
13033939,17.76,0.42,5.03,0,10.48,0.75,215.177032,53.030483,1
13033952,16.52,0.88,0.89,0.59,11.46,0.43,215.186691,53.0229,1
13034447,17.61,0.27,3.82,0.64,10.17,0.75,215.060165,53.023937,1
13034616,17.63,0.15,6.39,0.1,14.05,0.69,215.089859,53.033329,1
13034618,16.15,0.93,6.38,0.34,13.16,0.36,215.076477,53.032616,1
13034647,16.91,0.98,2.26,0.27,12.73,0.59,215.063629,53.011402,0
13034983,18.01,0.47,8.3,0.39,12.17,0.78,215.009796,53.057339,0
