Galaxy ID,Ks,ae,n,epsilon,stellar_mass,z,R.A.,Dec.,Spec.
12020104,18.51,0.43,4.36,0.43,47.42,1.87,214.594543,52.668449,0
12020148,18.81,0.41,0.81,0.37,18.27,1.39,214.548935,52.633511,0
12020309,18.72,0.71,0.51,0.43,23.77,1.45,214.545242,52.664719,0
12020310,18.79,0.22,7.43,0.48,11.66,1.09,214.579178,52.659504,0
12020362,17.45,1.4,1.34,0.47,16.85,0.87,214.556915,52.677319,0
12020390,17.94,0.28,5.83,0.19,19.51,1.09,214.538986,52.631279,1
12020404,17.62,0.31,4.89,0.15,19.11,0.81,214.579575,52.674393,1
12020494,17.52,0.49,4.28,0.16,22.04,0.82,214.49202,52.671543,1
12020511,18.44,0.34,2.91,0.74,22.16,1.23,214.513214,52.676834,0
12020602,18.41,0.17,4.46,0.56,10.15,0.83,214.437668,52.664772,0
12021059,17.73,0.81,0.57,0.71,24.55,0.95,214.405106,52.638031,0
12023503,18.43,0.37,4.02,0.54,14.57,1.06,214.813599,52.713718,1
12023514,17.65,0.26,4.75,0.24,18.68,0.83,214.812546,52.691006,1
12023519,18.83,0.56,5.38,0.3,19.82,1.42,214.806076,52.685871,0
12023651,18.3,0.29,4.43,0.37,12.81,0.98,214.838669,52.719395,1
12023700,18.22,0.2,4.53,0.5,10.16,0.82,214.824066,52.734154,1
12023731,17.6,0.79,2.36,0.29,24.94,1.09,214.825516,52.709286,0
12023779,18.44,0.37,5.7,0.28,10.35,0.95,214.76387,52.738632,1
12023796,18.87,0.16,2.43,0.35,12.08,1.27,214.749939,52.698734,0
12023935,17.91,0.64,3.68,0.49,15.27,0.84,214.785614,52.682693,1
12024022,18.28,0.41,0.72,0.02,10.07,0.84,214.800247,52.695129,1
12024094,18.22,0.79,1.97,0.29,12.89,0.95,214.786118,52.720173,1
12024143,17.57,0.16,5.17,0.1,31.66,1.03,214.637115,52.694271,1
12024165,18.31,0.42,4.22,0.18,13.87,0.92,214.657486,52.731239,1
12024196,18.68,0.65,2.84,0.26,11.25,0.97,214.622437,52.697372,0
12024244,18.17,0.66,0.1,0.2,10.81,0.95,214.658569,52.73111,0
12024268,17.98,0.93,7.51,0.27,19.06,0.96,214.697739,52.693283,0
12024270,19.45,0.41,4.86,0.01,16.38,1.85,214.681366,52.688671,0
12024315,18.42,0.63,0.39,0.55,13.04,1.05,214.668869,52.697014,1
12024321,18.11,0.37,6.5,0.29,12.62,0.92,214.621613,52.689816,1
12024331,18.23,0.14,4.88,0.29,10.59,0.84,214.634796,52.723747,1
12024348,18.87,0.59,1.4,0.64,12.55,1.14,214.705948,52.722275,0
12024357,18,0.33,6.9,0.29,12.53,0.82,214.659073,52.706036,0
12024382,17.88,0.33,4,0.37,29.63,1.1,214.67511,52.716267,1
12024422,17.99,0.26,4.84,0.44,22.72,1.03,214.628326,52.715736,1
12024427,18.24,0.76,2.38,0.48,11.11,0.93,214.647186,52.689369,1
12024436,17.49,0.7,0.73,0.29,21.96,0.94,214.66925,52.723419,1
12024453,17.11,0.22,4.86,0.16,39.35,0.91,214.683502,52.702225,1
12024462,18.57,1.08,1.74,0.35,19.85,1.4,214.655853,52.738384,1
12024473,17.64,0.9,1.2,0.48,18.27,0.86,214.612595,52.730392,0
12024513,17.93,0.37,5.88,0.67,22.88,0.93,214.675934,52.695148,0
12024634,18.66,0.32,2.31,0.29,11.97,1.06,214.537048,52.683083,1
12024704,18.82,0.24,3.06,0.7,20.48,1.58,214.60257,52.709778,0
12024707,19.4,0.6,1.07,0.09,12.39,1.64,214.517593,52.708511,0
12024770,18.96,0.35,2.04,0.32,17.37,1.56,214.600021,52.737839,0
12024790,18.17,0.09,4.47,0.43,11.68,0.97,214.572571,52.715248,1
12024832,18.23,0.22,5.16,0.3,13.54,0.92,214.584641,52.730576,0
12024833,17.99,0.47,5.29,0.19,20.28,1.23,214.535782,52.725384,1
12024855,18.33,0.16,4.65,0.33,15.97,1.11,214.610199,52.718796,0
12024912,18.07,1.15,1.52,0.31,20.1,1.08,214.554214,52.702869,1
12025000,18.42,0.41,1.24,0.29,11.73,1.03,214.51001,52.722939,1
12025032,17.93,0.43,0.5,0.29,10.43,0.81,214.499695,52.695972,1
12025061,18.24,0.53,4.42,0.21,19.74,1.08,214.467438,52.688702,0
12025109,18.53,0.85,3.01,0.49,13.15,1.03,214.470474,52.696842,1
12025292,18,0.29,6.66,0.44,12.36,0.81,214.501282,52.707939,1
12027499,19.55,0.5,1.18,0.6,10.88,1.5,214.946259,52.782486,0
12027546,18.92,0.24,7.2,0.24,17.45,1.36,214.903549,52.784744,0
12027662,17.66,0.55,0.99,0.46,28.58,0.91,214.928513,52.788792,1
12027693,17.95,0.61,4.52,0.23,21.38,1.02,214.906769,52.758839,1
12027729,18.48,0.5,0.55,0.48,20.42,1.26,214.8311,52.771744,1
12027847,18.62,0.63,0.1,0.71,15.37,1.16,214.885666,52.751232,0
12027947,17.32,0.2,1,0.27,17.82,1.02,214.831818,52.78764,1
12027961,19.4,0.75,0.68,0.42,14.84,1.57,214.816818,52.76276,0
12027966,17.62,0.25,3.86,0.63,30.37,1.02,214.887451,52.753902,1
12028016,19.99,1.26,0.92,0.67,12.45,1.85,214.886475,52.759239,0
12028094,18,0.06,3.88,0.07,12.48,1.01,214.719833,52.771812,0
12028173,17.76,0.2,5.99,0.2,16.05,0.96,214.780579,52.758778,1
12028175,18.98,0.6,5.58,0.26,17.54,1.41,214.732117,52.751915,0
12028213,18.78,0.57,4.08,0.47,23.05,1.41,214.797897,52.754234,0
12028245,17.52,0.06,2.71,0.62,24.78,0.9,214.790237,52.775871,0
12028397,19.08,0.52,2.37,0.4,13.05,1.41,214.694443,52.752777,0
12028484,19.11,0.01,4.1,0.05,10.09,1.31,214.623138,52.780827,0
12028639,18.39,0.34,2.29,0.37,11.47,0.98,214.65773,52.748489,1
12028761,18.86,0.53,1.78,0.39,20.98,1.53,214.565796,52.750874,0
12028998,17.8,0.86,0.88,0.17,14.66,0.91,214.599777,52.764477,1
12029014,18.41,0.65,0.98,0.43,38.34,1.46,214.57666,52.743347,0
12029062,18.09,0.64,3.33,0.35,13.14,0.89,214.547272,52.739964,0
12100175,19.17,0.55,2.2,0.46,10.38,1.39,214.121948,52.447403,0
12100288,19.07,0.36,4.5,0.15,11.46,1.43,214.393997,52.494019,0
12100302,18.35,0.55,0.38,0.81,11.48,0.84,214.258835,52.465149,1
12100397,18.18,0.57,3.23,0.58,11.31,0.99,214.482269,52.548935,1
12100732,19.03,0.73,0.96,0.71,10.84,1.06,214.700027,52.654327,0
12100930,19.53,0.01,8.83,0,16.06,1.6,214.616455,52.733521,0
12100932,18.9,0.62,0.73,0.31,19.93,1.41,214.674911,52.685543,0
12100937,19.23,0.34,0.78,0.23,10.66,1.29,214.54483,52.728336,0
12100943,18.67,0.31,4.24,0.74,17.21,1.21,214.565674,52.702995,0
12100967,18.89,0.11,3.68,0.68,11.07,1.06,214.516434,52.698997,0
12101107,19.02,0.16,2.82,0.61,15.19,1.38,214.792435,52.772823,0
12101110,18.64,0.24,0.98,0.12,13.04,1.04,214.767914,52.765247,0
12101371,18.12,0.37,7.46,0.71,14.23,0.83,214.218597,52.457809,1
13003101,18.65,0.36,2.3,0.24,26.16,1.38,214.945923,52.81229,0
13003222,18.78,0.3,4.33,0.42,30.21,1.58,214.945694,52.822777,0
13003326,17.97,1.05,2.17,0.19,10.06,0.82,214.942612,52.800705,1
13003517,18.35,0.23,4.28,0.48,30.88,1.42,214.872391,52.806919,0
13003616,18.48,0.55,0.33,0.65,15.03,1.14,214.877121,52.819504,0
13003624,18.29,0.16,4.69,0.67,26.24,1.19,214.863449,52.803963,1
13003676,18.8,0.25,2.9,0.38,22.68,1.56,214.93718,52.815453,0
13003755,19.18,0.19,3.75,0.46,13.72,1.54,214.937668,52.826466,0
13003834,18.08,0.24,2.17,0.73,26.93,1.2,214.878677,52.823643,1
13004054,18.73,0.19,4.36,0.18,13.79,1.17,214.769516,52.814941,0
13004232,18.48,0.89,2.26,0.51,14.17,1.11,214.826981,52.812748,0
13004254,18.58,0.75,2.37,0.37,13.53,1.2,214.844208,52.831444,1
13004276,17.38,0.24,5.19,0.42,34.56,0.98,214.77005,52.832954,1
13004291,17.59,0.65,0.1,0,46.57,1.2,214.812363,52.824963,1
13004311,18.63,0.67,1.04,0.35,12.58,1.36,214.841522,52.810951,1
13004572,18,1.19,1.49,0.66,13.63,0.91,214.691772,52.805576,0
13004629,18.75,0.63,2.93,0.07,12.94,1.15,214.734863,52.831894,0
13004653,18.69,0.3,6.34,0.47,28.28,1.64,214.747589,52.818691,0
13004684,17.59,0.72,3.37,0.19,11.69,1.01,214.732376,52.796871,1
13004953,18.68,0.45,1.52,0.38,23.94,1.53,214.643066,52.807957,0
13009938,18.35,0.35,1.2,0.19,15.62,1.17,215.06665,52.885845,1
13010096,19.21,0.2,1,0.48,13.81,1.41,215.029007,52.873116,0
13010238,18.75,0.13,4.7,0.52,11.79,1.05,214.968262,52.877304,0
13010247,18.7,0.21,2,0.32,14.44,1.1,214.952698,52.865051,1
13010255,18.98,0.47,1,0,10.25,1.33,214.966736,52.85424,1
13010259,18.54,0.27,4.25,0.66,25.11,1.28,214.977753,52.851185,0
13010519,18.3,0.42,4.66,0.17,11.1,0.96,214.994034,52.875519,0
13010750,19.25,0.04,2.94,0.43,14.76,1.56,214.874603,52.874775,0
13010765,17.47,0.88,5.21,0.25,41.3,1.01,214.920486,52.865883,1
13010853,19.22,0.39,4.31,0.26,14.7,1.54,214.906433,52.857208,0
13010920,17.68,0.56,3.76,0.16,22.6,0.96,214.919907,52.86689,0
13010958,19.02,0.64,1.42,0.13,18.35,1.67,214.927612,52.847977,0
13011067,18.03,1.04,2.36,0.42,20.3,1.06,214.90242,52.863686,1
13011146,18.24,0.31,7.29,0.14,15.36,1.08,214.921249,52.887829,1
13011148,18.02,0.58,1.24,0.29,16.52,1.17,214.874374,52.886971,1
13011155,18.06,0.58,0.6,0,14.68,1.01,214.923172,52.882168,1
13011166,18.46,0.91,1.64,0.62,10.72,1.24,214.93811,52.874279,0
13011170,18.02,0.31,2.47,0.26,10.47,0.82,214.902283,52.872116,0
13011188,17.29,0.69,4.35,0.18,40.75,0.97,214.886108,52.857121,0
13011209,17,0.49,1.79,0.11,35.42,0.82,214.927032,52.840294,0
13011233,18.75,0.07,6.16,0.03,12.13,1.21,214.83136,52.858253,1
13011281,17.16,0.36,3.46,0.28,28.75,0.81,214.816544,52.870399,1
13011328,19.25,0.86,1.24,0.53,13.13,1.54,214.754974,52.880432,0
13011370,17.78,0.44,1.63,0.41,23.14,0.97,214.786758,52.881741,1
13011446,18.8,1.13,0.73,0.68,20.95,1.34,214.773453,52.875465,0
13011501,18.1,0.25,3.54,0.85,15.49,1.01,214.830933,52.881664,1
13011608,18.45,0.39,4.02,0.38,14.31,1.04,214.791809,52.880299,1
13011723,18.78,0.62,2.45,0.64,10.78,1.18,214.829605,52.877731,1
13011728,17.89,0.64,1.05,0.34,21.4,1.03,214.793274,52.888802,1
13011748,18.47,0.5,2.61,0.6,17.18,1.18,214.833923,52.849567,1
13011780,18.07,0.36,3.12,0.71,12.04,0.81,214.808411,52.870682,1
13011785,17.88,0.54,7.1,0.25,14.58,0.81,214.806915,52.866558,1
13011794,17.85,1.25,5.13,0.08,19.46,0.91,214.842865,52.859314,1
13011809,18.11,0.22,6.53,0.08,11.82,0.88,214.815353,52.848537,1
13012021,19.01,0.49,1.86,0.48,13.18,1.36,214.740799,52.834648,0
13012145,18.9,0.61,2.42,0.62,18.67,1.39,214.748108,52.855274,0
13012244,19.72,0.15,1.09,0.11,11.22,1.72,214.740067,52.877567,0
13012290,17.65,0.58,4.83,0.46,29.06,0.98,214.747971,52.84898,1
13012391,18.05,0.77,2.42,0.08,12.74,0.98,214.745377,52.857597,1
13012404,18.18,0.5,2.72,0.48,10.17,0.81,214.749619,52.847694,1
13012405,17.82,0.33,4.81,0.2,12.97,0.87,214.741394,52.847221,0
13017155,19.37,0.06,3.78,0.2,13.46,1.57,215.132812,52.919243,0
13017337,17.25,0.31,4.33,0.69,35.57,0.97,215.158676,52.935352,1
13017486,19.47,0.11,3.96,0.22,13.18,1.63,215.111481,52.931049,0
13017617,18.04,0.38,3.89,0.65,20.73,1.08,215.103027,52.925217,0
13017707,18.66,0.35,6.74,0.05,13.45,1.18,215.054123,52.925976,0
13017843,18.67,0.54,0.94,0.48,10.06,1.05,215.078278,52.93483,1
13017861,18.74,0.7,4.41,0.69,14.51,1.17,215.073395,52.918953,0
13017910,18.25,0.83,4.21,0.41,17.06,1.14,215.105057,52.932785,0
13018034,17.64,0.5,6.19,0.14,18.85,0.82,215.127548,52.92474,1
13018246,19.24,0.75,2.17,0.77,27.11,1.76,215.030167,52.937443,0
13018293,18.9,0.36,3.34,0.28,12.72,1.23,215.000366,52.900963,0
13018312,18.35,0.54,0.64,0.36,14.96,1.1,214.992462,52.930401,1
13018338,19.4,0.3,0.84,0.65,15.08,1.56,214.999939,52.934116,0
13018611,18.16,0.17,4.76,0.26,17.07,1.08,215.026535,52.926003,1
13018703,18.93,0.27,5.19,0.42,11,1.2,215.029022,52.895504,0
13019003,19.35,0.37,1.99,0.5,18.07,1.72,214.892776,52.913082,0
13019010,18.43,0.32,0.14,0.7,18.3,1.12,214.892136,52.908772,0
13019033,18.61,0.3,6.27,0.02,14.92,1.2,214.931717,52.89513,1
13019039,19.65,0.14,0.37,0.23,11.45,1.5,214.920898,52.931999,0
13019047,18.6,0.19,6.1,0.34,12.21,1.05,214.906494,52.946056,1
13019113,18.09,0.5,1.66,0.54,19.94,0.98,214.849365,52.938118,1
13019292,18.64,0.28,3.29,0.33,12.49,1.12,214.89299,52.907906,0
13019309,18.24,0.22,5.26,0.37,20.04,1.17,214.929214,52.894257,1
13019594,18.77,0.23,2.31,0.25,22.59,1.6,214.827774,52.904877,0
13019617,18.18,0.39,4.62,0.15,14.89,0.95,214.825592,52.930283,1
13019645,18.06,1.37,0.65,0.79,16.38,0.85,214.755325,52.895016,0
13019691,18.57,0.71,4.47,0.5,13.92,1.05,214.822922,52.931129,0
13019698,18.14,1.94,1.86,0.66,11.66,0.85,214.807785,52.924194,1
13019820,17.4,0.64,4.65,0.07,26,0.85,214.817627,52.929424,1
13019929,17.43,0.25,5.13,0.37,27.23,0.8,214.809753,52.938416,0
13019932,18.09,0.48,2.18,0.62,20.2,0.97,214.830383,52.936775,1
13020616,17.55,0.49,1.4,0.42,16.67,0.87,214.745911,52.892212,0
13024629,18.99,0.41,4.76,0.19,10.14,1.12,215.235229,53.002514,0
13024878,18.33,1.02,0.67,0.72,15.79,1.06,215.180725,52.96841,0
13024891,19.85,0.19,1.45,0.27,10.67,1.67,215.131378,52.995808,0
13024935,19.11,0.2,2.9,0.59,12.25,1.32,215.179855,52.992657,0
13025045,19.03,0.22,3.87,0.64,11.45,1.2,215.210938,52.996777,0
13025048,18.87,0.29,2.99,0.37,20.92,1.45,215.217422,52.992413,0
13025116,19.59,0.85,0.23,0.45,10.33,1.72,215.138626,52.98386,0
13025192,18.7,0.81,2.48,0.59,24.54,1.54,215.187637,53.004311,0
13025247,19.16,0.48,2.45,0.52,13.85,1.67,215.202789,52.975372,0
13025400,19.5,0.15,0.1,0.6,11.72,1.69,215.188248,52.969727,0
13025455,17.76,1.51,0.74,0.52,19.22,0.93,215.14061,53.004105,0
13025667,19.57,0.58,0.88,0.61,10.43,1.65,215.054794,52.990345,0
13025729,19.41,0.21,4.09,0.45,11.88,1.54,215.042404,52.989868,0
13025784,19.63,0.15,4.22,0.81,11.59,1.68,215.112778,53.006065,0
13025833,19.7,0.25,0.32,0.39,12.93,1.68,215.088181,52.978252,0
13026117,17.99,0.53,2.32,0.15,26.08,1.24,215.110062,52.994297,1
13026167,18.14,1.35,1.15,0.34,23.63,1.23,215.10701,52.992023,1
13026315,18.88,0.29,4.74,0.41,13,1.17,214.944855,52.979366,0
13026354,19.08,0.47,1.02,0.3,14.93,1.54,214.958633,52.995052,0
13026376,18.2,0.47,2.62,0.32,22.6,1.12,215.005722,52.975422,1
13026391,18.18,0.58,0.78,0.51,17.52,1.05,214.9832,52.952049,1
13026400,18.51,0.49,3.85,0.18,18.31,1.23,214.946655,53.002697,0
13026416,18.61,1.51,0.64,0.82,11.43,1.11,214.992599,52.991905,1
13026444,19.4,0.49,1.12,0.41,17.63,1.72,215.010208,52.970333,0
13026486,19.09,0.89,0.53,0.73,21.52,1.53,214.959106,52.983433,0
13026500,18.99,0.63,3.02,0.65,14.41,1.29,214.9646,52.996952,0
13026509,18.96,0.25,5.53,0.37,18.17,1.47,214.947464,52.98415,0
13026510,18.8,0.43,0.29,0.58,10.36,1.05,215.019119,52.982903,0
13026540,19.07,0.08,3.07,0.21,11.84,1.21,215.026001,52.957821,0
13026554,18.76,0.16,4.88,0.07,11.98,1.09,214.944962,53.00436,0
13026566,18.35,0.88,0.78,0.18,12.99,1.16,214.95343,52.99506,0
13026574,18.32,0.29,2.44,0.26,17.61,1.11,214.96991,52.991085,1
13026636,19.07,0.42,2.94,0.33,21.51,1.61,214.966232,52.961418,0
13026655,17.98,0.44,1.49,0.47,16.1,1.05,214.98494,52.951233,1
13026687,19.57,0.06,3.24,0.27,10,1.72,215.013794,52.959183,0
13026691,18.45,0.35,4.63,0.27,17.89,1.13,214.955322,52.951309,0
13026695,18.39,0.62,2.19,0.17,17.6,1.23,214.950806,53.004002,1
13026703,17.83,0.5,4.03,0.3,18.52,0.91,215.008499,52.997414,1
13026797,17.16,0.51,4.56,0.16,30.61,0.89,215.011749,52.995594,0
13026825,17.34,1.2,1.37,0.39,29.99,0.9,214.981674,52.998833,0
13026831,18.4,0.16,7.66,0.38,12.8,1.11,214.972321,52.991917,1
13026846,18.48,0.88,1.18,0.38,11.15,1.12,214.964874,52.983246,0
13026867,18.18,0.3,4.73,0.28,22.24,1.18,214.984314,52.961372,1
13027261,18.34,0.33,1.68,0.85,12.33,0.98,214.872818,52.963234,1
13027437,18.97,0.33,3.91,0.21,10.76,1.07,214.882477,52.971146,0
13027514,17.17,0.52,4.38,0.19,52.37,0.98,214.846863,52.962322,1
13027798,17.78,0.76,1.53,0.69,25.51,0.99,214.843216,52.955044,0
13031946,18.78,0.44,1.13,0.83,24.32,1.54,215.333694,53.059765,0
13032805,19.32,0.24,1.31,0.58,11.86,1.85,215.247406,53.020626,0
13032956,18.78,0.37,4.36,0.47,12.68,1.03,215.266937,53.035305,0
13033320,19.41,0.45,0.13,0.76,21.4,1.82,215.162079,53.040077,0
13033440,18.97,0.2,2.29,0.77,10.74,1.12,215.13678,53.017223,0
13033489,19.8,0.32,2.97,0.72,15.07,1.79,215.132156,53.037601,0
13033528,18.32,0.62,0.56,0.11,12.13,1.08,215.135941,53.018185,0
13033533,18.65,0.16,6.88,0.37,24.73,1.43,215.131592,53.016262,0
13033577,19.49,0.05,1.52,0.11,14.68,1.57,215.168945,53.04977,0
13033624,18.37,0.79,0.49,0.45,16.13,1.14,215.198486,53.062492,0
13033627,18.17,1.28,3.26,0.53,10.75,0.85,215.212997,53.060949,0
13033647,19.11,1.1,1.51,0.55,19.37,1.5,215.159454,53.048603,0
13033748,17.75,1.05,1.15,0.5,14.68,0.81,215.169418,53.033497,0
13033888,18.16,0.57,2.79,0.43,21.89,1.12,215.191437,53.008144,1
13033934,18.4,0.67,1.83,0.31,16.28,1.28,215.192276,53.034664,0
13033941,17.77,0.62,5.64,0.22,18.37,0.85,215.189041,53.029859,0
13033949,18.51,0.07,3.75,0.33,15.56,1.36,215.221863,53.024181,1
13033959,18.56,0.35,2.31,0.44,17.25,1.17,215.173203,53.019882,1
13034014,18.7,0.25,5.6,0.14,10.52,0.92,215.052979,53.046841,0
13034076,18.04,0.94,0.54,0.66,15.5,0.88,215.124496,53.023132,1
13034245,18,0.62,0.84,0.1,21.43,1.12,215.104645,53.007652,1
13034285,18.09,0.45,5.1,0.48,18.95,1.01,215.075363,53.034664,0
13034350,17.76,0.93,2.21,0.56,21.68,0.91,215.087479,53.034435,0
13034352,18.33,0.79,1.08,0.38,20.03,1.17,215.07373,53.032673,0
13034371,19.89,0.61,0.14,0,11.73,1.82,215.082977,53.024269,0
13034406,18.71,0.34,0.93,0.01,17.67,1.42,215.084625,53.009789,1
13034414,18.38,0.89,1.68,0.69,10.64,0.89,215.100021,53.051598,1
13034445,18.22,0.79,2.37,0.27,18.44,1.17,215.12793,53.030041,1
13034479,19.18,0.65,0.55,0.22,13.17,1.54,215.091385,53.046227,0
13034518,18.29,0.69,0.84,0.26,18.57,1.18,215.046387,53.008942,0
13034520,18.76,0.56,1.24,0.39,13.37,1.16,215.100571,53.008038,0
13034541,18.36,1.13,0.58,0.18,15.81,1.1,215.092102,53.037388,0
13034586,18.07,0.45,1.61,0.59,20.7,1.04,215.130157,53.051311,1
13034605,18.55,0.47,5.58,0.13,14.37,1.07,215.103287,53.040321,0
13034608,19.01,0.09,4.79,0.5,10.51,1.09,215.050476,53.037884,0
13034619,17.58,0.78,4.05,0.39,22.19,0.96,215.084641,53.032356,1
13034633,17.47,0.57,1.01,0.51,14.59,0.86,215.056641,53.021835,0
13034648,19.69,0.79,0.1,0.33,11.5,1.72,215.0569,53.010292,0
13034650,17.91,0.52,3.8,0.65,26.98,1.12,215.122726,53.009888,1
13034808,19.13,0.25,4.6,0.15,15.34,1.45,214.949448,53.010735,0
13034820,18.93,0.21,5.72,0.4,13.11,1.14,214.982513,53.056473,0
13034915,19.1,0.55,0.76,0.02,21.62,1.5,214.991333,53.057869,0
13034942,18.11,0.67,1.01,0.5,16.71,0.95,214.988434,53.028023,0
13035081,19.77,0.16,0.87,0.25,12.78,1.83,214.981476,53.007137,0
13035123,17.27,1.37,1.36,0.09,41.63,1.12,215.022507,53.020969,1
13035134,18.95,0.54,1.2,0.78,11.43,1.35,215.00827,53.010868,1
13035210,19.13,0.37,1.77,0.36,25.43,1.68,215.028259,53.009281,0
13035301,19.02,0.01,3.33,0.9,18.07,1.9,214.96991,53.034557,1
13035767,17.12,0.68,1.26,0.26,28.69,0.82,214.917313,53.013966,1
13039616,19.3,0.13,5.06,0.28,16.21,1.54,215.421051,53.120705,0
13040449,18.31,0.68,3.5,0.73,13.02,0.93,215.356125,53.099758,0
13040453,18.38,0.17,6.69,0.09,11.62,0.91,215.373016,53.099121,0
13040557,18.91,0.29,4.58,0.32,10.92,1.18,215.327011,53.087955,0
13040896,19.12,0.48,0.68,0.4,14.47,1.56,215.351242,53.104481,0
13041154,18.15,0.44,4.84,0.23,23.34,1.27,215.254349,53.112411,1
13041181,18.57,0.28,3.79,0.6,13.55,1.3,215.236618,53.09692,1
13041230,19.04,0.7,2.25,0.68,24.93,1.76,215.280167,53.066631,0
13041286,18.43,0.46,1.98,0.19,12.38,0.98,215.282074,53.083904,1
13041341,18.42,0.29,5.66,0.39,17.64,1.13,215.273254,53.107906,0
13041461,18.07,0.45,3.55,0.78,11.75,0.87,215.261307,53.091286,0
13041525,18.65,0.11,4.91,0.36,10.1,1,215.301453,53.088963,1
13041671,18.05,0.67,6.09,0.41,18.6,0.98,215.236038,53.073143,1
13041974,18.94,0.41,4.25,0.26,20.59,1.6,215.160355,53.06538,0
13042060,18.59,0.07,5.47,0.23,16.91,1.26,215.193909,53.114967,1
13042152,18.38,0.43,1.66,0.42,30.85,1.42,215.216263,53.064644,0
13042162,18.55,1.17,1.57,0.33,13.78,1.16,215.203934,53.087322,0
13042206,18.29,0.58,3.33,0.51,10.69,0.89,215.187759,53.117485,1
13042211,19.48,0.33,1.58,0.32,10.72,1.63,215.188705,53.113266,0
13042371,18.07,0.22,7.48,0.5,19.41,0.99,215.13176,53.079388,1
13042380,18.11,0.34,4.76,0.61,21.07,1.02,215.180527,53.072697,0
13042477,19.12,0.23,0.83,0.76,21.89,2.15,215.048126,53.104488,1
13042860,17.8,0.36,6.77,0.17,22.94,0.98,215.080231,53.11174,1
13042940,18.96,0.46,0.49,0.12,10.74,1.26,215.108047,53.091221,1
13042974,19.38,0.67,0.62,0.75,22.54,1.78,215.105164,53.067257,0
13043062,17.14,0.34,6,0.11,16.21,0.98,215.100571,53.081329,1
13043083,17.23,0.7,5.74,0.15,32.73,0.85,215.08812,53.068943,0
13043636,18.68,0.09,5.72,0.44,14.08,1.18,215.01355,53.068729,1
13048042,19.14,0.53,1.77,0.3,18.77,1.52,215.430344,53.134132,0
13048290,18.59,0.52,1.57,0.37,11.93,1.09,215.453308,53.15662,0
13048356,19.15,0.21,4.98,0.55,14.27,1.34,215.443161,53.151409,0
13048436,18.49,0.48,6,0.51,15.32,1.34,215.429596,53.142132,1
13048571,19.19,0.86,0.5,0.54,10.17,1.28,215.488632,53.177315,0
13048620,17.75,0.52,1.31,0.38,15.02,0.86,215.422836,53.135353,1
13048761,19.33,0.39,0.1,0.36,11.82,1.52,215.413147,53.151787,0
13048898,18.58,0.27,6.49,0.18,13.63,1.03,215.328903,53.135174,1
13048916,19.55,0.87,2.53,0.8,10.03,1.53,215.337357,53.177139,0
13048981,18.25,0.9,3.85,0.75,13.17,1.08,215.340271,53.131775,0
13049041,18.97,0.16,3.4,0.8,22.35,1.6,215.379089,53.1772,0
13049123,17.65,0.65,2.5,0.47,14.25,0.82,215.326233,53.176323,0
13049154,17.86,0.78,1.6,0.69,14.82,0.86,215.3414,53.17268,0
13049356,18.11,0.55,3.71,0.55,37.03,1.25,215.242477,53.161175,0
13049607,18.4,0.37,0.32,0.69,17.36,1.19,215.261383,53.151752,1
13049737,18.43,0.93,0.41,0.6,15.64,1.19,215.237396,53.157227,1
13049901,17.94,0.44,4.51,0.04,18.94,0.89,215.276917,53.123055,1
13049927,19.31,0.01,4.08,0.57,10.5,1.28,215.177826,53.15913,0
13050004,18.11,0.55,0.9,0.66,14.68,0.95,215.150314,53.145103,0
13050119,18.99,0.37,4.63,0.32,24.64,1.57,215.214966,53.154823,0
13050133,18.51,1.24,1.77,0.79,20.09,1.09,215.133041,53.147942,0
13050413,17.89,0.92,1.54,0.5,11.27,0.84,215.187012,53.135765,0
13050433,18.79,0.66,1.68,0.4,16.99,1.29,215.190552,53.168743,0
13050447,19.62,0.16,0.94,0.73,11.66,1.67,215.183258,53.158203,0
13050478,18.36,0.66,8.3,0.26,20.48,1.28,215.219421,53.137863,1
13050512,18.18,0.92,2.91,0.55,11.11,0.81,215.175171,53.162304,1
13050520,18.23,0.62,2.63,0.38,11.84,1.02,215.217346,53.139954,1
13050545,17.6,0.28,5.34,0.25,15.54,0.81,215.182007,53.169682,1
13050827,19.54,0.12,1,0.98,13.68,1.71,215.130524,53.157887,0
13051165,18.08,0.16,5.58,0.23,28.06,1.18,215.095383,53.129608,1
13056314,19.99,0.14,3.08,0.42,11.69,1.78,215.477997,53.193722,0
13056470,18.8,0.48,1.83,0.33,10.33,1.06,215.439682,53.20562,0
13056660,19.61,0.3,2.29,0.49,13.75,1.74,215.459381,53.185776,0
13056675,18.16,1.12,1.76,0.07,15.46,1.15,215.471664,53.179096,0
13056835,18.11,1.2,0.25,0.49,16.07,1.07,215.431641,53.196033,0
13056844,17.49,0.68,1.85,0.08,18.81,0.96,215.423431,53.234512,0
13056871,18.7,0.36,3.58,0.32,10.11,0.91,215.500458,53.218685,0
13056992,19.45,0.76,1.51,0.61,10.76,1.47,215.366806,53.220608,0
13057289,19.62,0.12,4.05,0,13.41,1.81,215.372864,53.201378,0
13057370,17.88,1.84,1.83,0.38,15.05,0.95,215.387955,53.203579,0
13057459,18.16,0.22,3.61,0.43,16.97,1.03,215.327744,53.190807,1
13057480,18.44,1.27,2.2,0.68,16.13,1.11,215.408142,53.209045,0
13057505,18.26,0.19,4.77,0.23,14.87,0.99,215.324677,53.189907,0
